id,timestamp,hostname,interface,description,encapsulation,vlan,rewrite,input_policy,output_policy,modified_by_id
39832,2021-05-21 05:00:47.571464,SPC00E67CIBE002,Bundle-Ether102.2010,"PID1-17QRON3_ePLDT, Inc._METRO ELINE_10M",dot1q,2010,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39833,2021-05-21 05:00:47.571492,SPC00E67CIBE002,Bundle-Ether102.2011,PID1-1AFUT36_INFINIVAN INC._METRO E-LINE_10000M,dot1q,2011,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39834,2021-05-21 05:00:47.571521,SPC00E67CIBE002,Bundle-Ether102.2013,PID1-19TCUEH_KANTAR PHL INC._ISDN-PRI E1,dot1q,2013,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39835,2021-05-21 05:00:47.571550,SPC00E67CIBE002,Bundle-Ether102.2014,PID1-1AS6728_HINDUJAGLOBALSOLUTIONSLIMITED_METROE-LINE_200M,dot1q,2014,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39836,2021-05-21 05:00:47.571578,SPC00E67CIBE002,Bundle-Ether102.2016,PID1-1A9T7XZ_ePLDT,dot1q,2016,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39837,2021-05-21 05:00:47.571607,SPC00E67CIBE002,Bundle-Ether102.2017,PID1-1ARP4RV_ePLDT,dot1q,2017,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39838,2021-05-21 05:00:47.571636,SPC00E67CIBE002,Bundle-Ether102.2018,PID1-19EKLLN_ePLDT,dot1q,2018,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39839,2021-05-21 05:00:47.571665,SPC00E67CIBE002,Bundle-Ether102.2019,PID1-1C113QP_ePLDT,dot1q,2019,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39840,2021-05-21 05:00:47.571694,SPC00E67CIBE002,Bundle-Ether102.2020,PID1-16D82SW_AT&T CORPORATION_METRO E-LINE_2M,dot1q,2020,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39841,2021-05-21 05:00:47.571723,SPC00E67CIBE002,Bundle-Ether102.2023,1-1BWQJW6_RESPONSIBLEINTERNETSUSTAINABILIT_METRO E-LINE_200M,dot1q,2023,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39842,2021-05-21 05:00:47.571752,SPC00E67CIBE002,Bundle-Ether102.2024,PID1-17VUXH6_TPLEX OAM CORPORATION_METRO E-LINE_100M,dot1q,2024,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39843,2021-05-21 05:00:47.571782,SPC00E67CIBE002,Bundle-Ether102.2025,PID1-17VUXH6_TPLEX OAM CORPORATION_METRO E-LINE_100M,dot1q,2025,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39844,2021-05-21 05:00:47.571811,SPC00E67CIBE002,Bundle-Ether102.2026,PID1-19J1USR_STERLING GLOBAL CALL CENTER_METRO E-LINE_50M,dot1q,2026,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39845,2021-05-21 05:00:47.571840,SPC00E67CIBE002,Bundle-Ether102.2028,PID1-18FPHPR_TRUE MONEY PHILIPPINES INC._METRO E-LINE_20M,dot1q,2028,rewrite ingress tag pop 1 symmetric,Ingress-ASBR-CB-Policy,,1
39846,2021-05-21 05:00:47.571868,SPC00E67CIBE002,Bundle-Ether30000.950,BCN00550CICU001 FTTH DHCP Public IP,dot1q,950,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39847,2021-05-21 05:00:47.571898,SPC00E67CIBE002,Bundle-Ether30000.951,MLLN0037CICU001 FTTH DHCP Public IP_1,dot1q,951,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39848,2021-05-21 05:00:47.571927,SPC00E67CIBE002,Bundle-Ether30000.952,CABN5695CICU001_FNAT_952,dot1q,952,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39849,2021-05-21 05:00:47.571956,SPC00E67CIBE002,Bundle-Ether30000.954,BLAPXBLACICU001 OLT FTTH DHCP Public IP,dot1q,954,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39850,2021-05-21 05:00:47.571985,SPC00E67CIBE002,Bundle-Ether30000.955,MCT03903CICU001 FTTH FNAT,dot1q,955,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39851,2021-05-21 05:00:47.572014,SPC00E67CIBE002,Bundle-Ether30000.956,OLGPXOLGCICU001_OLPHUOL001_FTTH_DHCP_Public_IP_1,dot1q,956,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39852,2021-05-21 05:00:47.572043,SPC00E67CIBE002,Bundle-Ether30000.957,SUB00527CICU001_OLT_FTTH_DHCP_Public_IP,dot1q,957,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39853,2021-05-21 05:00:47.572072,SPC00E67CIBE002,Bundle-Ether30000.1201,BCNHUOL001 FTTH DHCP,dot1q,1201,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39854,2021-05-21 05:00:47.572101,SPC00E67CIBE002,Bundle-Ether30000.1202,HGYHUOL001 FTTH DHCP,dot1q,1202,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39855,2021-05-21 05:00:47.572130,SPC00E67CIBE002,Bundle-Ether30000.1203,CABN5695CICU001_SRNHUOL001_CONS,dot1q,1203,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39856,2021-05-21 05:00:47.572158,SPC00E67CIBE002,Bundle-Ether30000.1204,CABN5695CICU001_TVRHUOL001_CONS,dot1q,1204,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39857,2021-05-21 05:00:47.572187,SPC00E67CIBE002,Bundle-Ether30000.1205,BLAPXBLACICU001 BGCHUOL001 FTTH DHCP,dot1q,1205,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39858,2021-05-21 05:00:47.572216,SPC00E67CIBE002,Bundle-Ether30000.1206,BLAPXBLACICU001 ORIHUOL001 FTTH DHCP,dot1q,1206,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39859,2021-05-21 05:00:47.572245,SPC00E67CIBE002,Bundle-Ether30000.1207,CABN5695CICU001_MNXFEOL001_CONS,dot1q,1207,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39860,2021-05-21 05:00:47.572274,SPC00E67CIBE002,Bundle-Ether30000.1208,DAUHUOL001 FTTH DHCP,dot1q,1208,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
