SITE_NAME,DEVICE_TYPE,HOSTNAME,REGION,IPV4_MANAGEMENT_IP,IPV6_MANAGEMENT_IP,IPV4_LOOPBACK0_ADDRESS,IPV6_LOOPBACK0_ADDRESS,SID_ABSOLUTE_PREFIX,SID_ABSOLUTE_STRICT_PREFIX,ANY_CAST_SID,PHASE,IPV4_ANYCAST_IP
SMART Y30 LINGAYEN 3 - DOMALANDAN,DN-1,LYN00Y30CICN001,NL,10.205.140.175,2405:b800::a0b0,10.205.132.177,2405:b800::20b0,,,,PHASE 2,10.205.184.190
PLDT LAYLAY,AN-1,BOAPX201CICU001,SL,10.205.142.4,2405:b800::b004,10.205.134.4,2405:b800::3004,,,,PHASE 2,
PLDT MOLINO,AN-1,BCRPXMOLCICU001,SL,10.205.142.5,2405:b800::b005,10.205.134.5,2405:b800::3005,,,,PHASE 2,
PLDT ANGELES,AN-1,AGSPXAGSCICU001,NL,10.205.142.6,2405:b800::b006,10.205.134.6,2405:b800::3006,,,,PHASE 2,
PLDT BAGUIO SESSION ROAD,AN-1,BGOPXBGSCICU001,NL,10.205.142.7,2405:b800::b007,10.205.134.7,2405:b800::3007,,,,PHASE 2,
PLDT BAGUIO TMC,AN-1,BGOPXBGOCICU001,NL,10.205.142.8,2405:b800::b008,10.205.134.8,2405:b800::3008,,,,PHASE 2,
PLDT BINMALEY,AN-1,BMLPXBMLCICU001,NL,10.205.142.9,2405:b800::b009,10.205.134.9,2405:b800::3009,,,,PHASE 2,
PLDT CANLUBANG VAN,AN-1,CLAPXCSECICU001,SL,10.205.142.10,2405:b800::b00a,10.205.134.10,2405:b800::300a,,,,PHASE 2,
PLDT CAPAS,AN-1,CAPPXCAPCICU001,NL,10.205.142.11,2405:b800::b00b,10.205.134.11,2405:b800::300b,,,,PHASE 2,
PLDT CAUAYAN,AN-1,CYNPXCYNCICU001,NL,10.205.142.12,2405:b800::b00c,10.205.134.12,2405:b800::300c,,,,PHASE 2,
PLDT DAGUPAN,AN-1,DGPPXDGPCICU001,NL,10.205.142.13,2405:b800::b00d,10.205.134.13,2405:b800::300d,,,,PHASE 2,
PLDT FLORIDABLANCA,AN-1,FLBPXFLBCICU001,NL,10.205.142.14,2405:b800::b00e,10.205.134.14,2405:b800::300e,,,,PHASE 2,
